Idx,Comment,Code,License,Label,Author,Datasets,Packages,Output Types,Output Names,Source,Title,Project description,Domain,Publication date,Date modified,DOI
5676 ScenePrimingCFS_Analysis.R 40,descriptive statistics of accuracy / errors,"er_desc <- data_er %>% group_by(participant) %>% summarize(n_correct = sum(acc), n_trials = length(participant))",CC-By Attribution 4.0 International,Data Variable,Christian Valuch,None,"['readxl', 'tidyverse', 'effects', 'multcomp', 'afex', 'patchwork']",{'PNG'},"{'Fig1_BC.png', 'Fig1_A.png'}",https://osf.io/4sjxz/,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code],"Continuous Flash Suppression (CFS) reduces conscious awareness of stimuli presented to one eye by flashing a sequence of high-contrast pattern masks to the other eye. However, it is currently unclear whether unconscious processing in CFS is limited to early sensory stages or extends to higher-level categorical or even semantic processes. Here, we approached this question using a priming paradigm with a large set of indoor and outdoor scene photographs. In each trial, participants were presented with a prime scene to the nondominant eye that was perceptually suppressed through CFS. The prime scene was followed by a visible target scene that was presented to both eyes. Participants rapidly reported whether the target scene showed an indoor or an outdoor setting. We found priming effects in the sense that participants’ responses were faster when prime and target scenes came from a congruent superordinate category (e.g., they were both outdoor scenes) and slower when they came from incongruent superordinate categories. Importantly, prime and target scenes always depicted different real-world scene contexts, thus minimizing the role of low-level feature relationships between prime and target scenes. The observed priming effects were modulated by prime visibility and stimulus onset asynchrony (SOA) of prime and target. The present results imply that processing of higher-level categorical information is possible during CFS, although some residual prime visibility is likely necessary for significant priming effects to occur. 
    Hosted on the Open Science Framework",Social Science,2022-03-09,2022-03-14,None
5676 ScenePrimingCFS_Analysis.R 42,fit a GLMM model with all theoretically relevant fixed effects,"modelER <- mixed(acc ~ congruency*soa*mask_contrast + (1| participant) + (1|target_context), family = binomial(""logit""), data = data_er, method = ""LRT"", type =3) summary(modelER) anova(modelER)",CC-By Attribution 4.0 International,Statistical Modeling,Christian Valuch,None,"['readxl', 'tidyverse', 'effects', 'multcomp', 'afex', 'patchwork']",{'PNG'},"{'Fig1_BC.png', 'Fig1_A.png'}",https://osf.io/4sjxz/,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code],"Continuous Flash Suppression (CFS) reduces conscious awareness of stimuli presented to one eye by flashing a sequence of high-contrast pattern masks to the other eye. However, it is currently unclear whether unconscious processing in CFS is limited to early sensory stages or extends to higher-level categorical or even semantic processes. Here, we approached this question using a priming paradigm with a large set of indoor and outdoor scene photographs. In each trial, participants were presented with a prime scene to the nondominant eye that was perceptually suppressed through CFS. The prime scene was followed by a visible target scene that was presented to both eyes. Participants rapidly reported whether the target scene showed an indoor or an outdoor setting. We found priming effects in the sense that participants’ responses were faster when prime and target scenes came from a congruent superordinate category (e.g., they were both outdoor scenes) and slower when they came from incongruent superordinate categories. Importantly, prime and target scenes always depicted different real-world scene contexts, thus minimizing the role of low-level feature relationships between prime and target scenes. The observed priming effects were modulated by prime visibility and stimulus onset asynchrony (SOA) of prime and target. The present results imply that processing of higher-level categorical information is possible during CFS, although some residual prime visibility is likely necessary for significant priming effects to occur. 
    Hosted on the Open Science Framework",Social Science,2022-03-09,2022-03-14,None
5676 ScenePrimingCFS_Analysis.R 44,fit a GLMM model with all theoretically relevant effects,"modelER <- mixed(acc ~ soa*mask_contrast + (1| participant) + (1|prime_context), family = binomial(""logit""), data = acc_data, method = ""LRT"", type=3) modelER",CC-By Attribution 4.0 International,Statistical Modeling,Christian Valuch,None,"['readxl', 'tidyverse', 'effects', 'multcomp', 'afex', 'patchwork']",{'PNG'},"{'Fig1_BC.png', 'Fig1_A.png'}",https://osf.io/4sjxz/,Priming of Natural Scence Categorization during Continuous Flash Suppression [Data and Code],"Continuous Flash Suppression (CFS) reduces conscious awareness of stimuli presented to one eye by flashing a sequence of high-contrast pattern masks to the other eye. However, it is currently unclear whether unconscious processing in CFS is limited to early sensory stages or extends to higher-level categorical or even semantic processes. Here, we approached this question using a priming paradigm with a large set of indoor and outdoor scene photographs. In each trial, participants were presented with a prime scene to the nondominant eye that was perceptually suppressed through CFS. The prime scene was followed by a visible target scene that was presented to both eyes. Participants rapidly reported whether the target scene showed an indoor or an outdoor setting. We found priming effects in the sense that participants’ responses were faster when prime and target scenes came from a congruent superordinate category (e.g., they were both outdoor scenes) and slower when they came from incongruent superordinate categories. Importantly, prime and target scenes always depicted different real-world scene contexts, thus minimizing the role of low-level feature relationships between prime and target scenes. The observed priming effects were modulated by prime visibility and stimulus onset asynchrony (SOA) of prime and target. The present results imply that processing of higher-level categorical information is possible during CFS, although some residual prime visibility is likely necessary for significant priming effects to occur. 
    Hosted on the Open Science Framework",Social Science,2022-03-09,2022-03-14,None
9733 analysis_fullset.R 16,calculate overall proportion,prop_overall := N / sum(N)],CC-By Attribution 4.0 International,Data Variable,Magdalena Siegel,None,None,None,None,https://osf.io/dqc3y/,"Times are changing, bias isn’t: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in Industrial/Organizational Psychology","Supplements, data and R code to reproduce analyses and figures reported in the paper 
    Hosted on the Open Science Framework",Psychology,2020-07-08,2021-10-04,None
5388 risk_factors_monthly.R 5,creating variables for lagged values and moving averages,"delay_rf <- function(v,lag) c(rep(NA,lag),v[1:(length(v)-lag)]) moving_avg <- function(x,n) c(stats::filter(x,rep(1/n,n),sides=1)) res <- lapply(res,transform,cd4Rcd8=cd4/cd8) res <- lapply(res,transform,cd4_ma12=moving_avg(cd4,12),cd8_ma12=moving_avg(cd8,12),cd4Rcd8_ma12=moving_avg(cd4Rcd8,12),cd4_ma24=moving_avg(cd4,24),cd8_ma24=moving_avg(cd8,24),cd4Rcd8_ma24=moving_avg(cd4Rcd8,24), rna_ma12=moving_avg(rna,12),rna_ma24=moving_avg(rna,24)) res <- lapply(res,transform,cd4_lag12=delay_rf(cd4,12),cd4_lag24=delay_rf(cd4,24),cd4_lag36=delay_rf(cd4,36), cd8_lag12=delay_rf(cd8,12),cd8_lag24=delay_rf(cd8,24),cd8_lag36=delay_rf(cd8,36), cd4Rcd8_lag12=delay_rf(cd4Rcd8,12),cd4Rcd8_lag24=delay_rf(cd4Rcd8,24),cd4Rcd8_lag36=delay_rf(cd4Rcd8,36), rna_lag12=delay_rf(rna,12),rna_lag24=delay_rf(rna,24),rna_lag36=delay_rf(rna,36), cd4_ma12_lag12=delay_rf(cd4_ma12,12),cd4_ma24_lag12=delay_rf(cd4_ma24,12),cd4_ma12_lag24=delay_rf(cd4_ma12,24), cd8_ma12_lag12=delay_rf(cd8_ma12,12),cd8_ma24_lag12=delay_rf(cd8_ma24,12),cd8_ma12_lag24=delay_rf(cd8_ma12,24), cd4Rcd8_ma12_lag12=delay_rf(cd4Rcd8_ma12,12),cd4Rcd8_ma24_lag12=delay_rf(cd4Rcd8_ma24,12),cd4Rcd8_ma12_lag24=delay_rf(cd4Rcd8_ma12,24), rna_ma12_lag12=delay_rf(rna_ma12,12),rna_ma24_lag12=delay_rf(rna_ma24,12),rna_ma12_lag24=delay_rf(rna_ma12,24)) res <- lapply(res,transform,haart_lag6=delay_rf(haart,6),haart_lag12=delay_rf(haart,12),hepC_aHCVpos_lag12=delay_rf(hepC_aHCVpos,12),hepC_RNApos_lag12=delay_rf(hepC_RNApos,12), hepC_RNAdet_lag12=delay_rf(hepC_RNAdet,12),hepB_pos_lag12=delay_rf(hepB_pos,12),CDC_lag12_cat=delay_rf(CDC_cat,12),bpn_lag12=delay_rf(bpn,12)) res_df <- rbind.fill(res) res_df$CDC_lag12_cat[res_df$CDC_lag12_cat==1] <- ""A"" res_df$CDC_lag12_cat[res_df$CDC_lag12_cat==2] <- ""B"" res_df$CDC_lag12_cat[res_df$CDC_lag12_cat==3] <- ""C"" res_df$CDC_lag12_cat <- factor(res_df$CDC_lag12_cat,levels=c(""A"",""B"",""C"")) res_df$hepC_aHCVpos_lag12[is.na(res_df$hepC_aHCVpos_lag12)] <- FALSE res_df$hepC_RNApos_lag12[is.na(res_df$hepC_RNApos_lag12)] <- FALSE res_df$hepC_RNAdet_lag12[is.na(res_df$hepC_RNAdet_lag12)] <- FALSE res_df <- transform(res_df,hepC_RNA=(hepC_RNApos | hepC_RNAdet),hepC_RNA_lag12=(hepC_RNApos_lag12 | hepC_RNAdet_lag12)) res_df$bpn_lag12[is.na(res_df$bpn_lag12)] <- FALSE rownames(res_df) <- NULL if(write_df) save(res_df,file=paste(filepath_read_R,""\\monthly_rf_df_"",max_dist,"".RData"",sep='')) print(proc.time()-ptm)",CC0 1.0 Universal,Data Variable,Matthias Egger,None,['plyr'],None,None,https://osf.io/gy5vm/,Extended data for Non-AIDS defining malignancies in the combination ART era: immunological and socio-behavioral risk factors (Ruffieux et al. Faculty1000research 2019),"R code with documentation underlying analyses of paper by Ruffieux et al, Faculty1000research. 
    Hosted on the Open Science Framework",Social Science,2019-07-24,2019-07-25,10.17605/OSF.IO/GY5VM
4329 3_Regression analyses.R 5,create dummy variables gender,"Sample2$Dfemale <- recode(Sample2$gender, ""'weiblich'=1;; 'maennlich'=0;; 'divers'=0;; 'keine Angabe'=0"") Sample2$Dmale <- recode(Sample2$gender, ""'maennlich'=1;; 'weiblich'=0;; 'divers'=0;; 'keine Angabe'=0"") Sample2$Ddiverse <- recode(Sample2$gender, ""'divers'=1;; 'weiblich'=0;; 'maennlich'=0;; 'keine Angabe'=0"") Sample2$DNoGenderInd <- recode(Sample2$gender, ""'keine Angabe'=1;;'weiblich'=0;; 'maennlich'=0;; 'divers'=0"") Sample2$DComplianceFully <- recode(Sample2$complianceCurrent, ""'Ja'=1;; 'Ja, teilweise'=0;; 'Nein auch zuvor nicht'=0;; 'Nein, nicht mehr'=0"") Sample2$DCompliancePartly <- recode(Sample2$complianceCurrent, ""'Ja'=0;; 'Ja, teilweise'=1;; 'Nein auch zuvor nicht'=0;; 'Nein, nicht mehr'=0"") Sample2$DComplianceNever <- recode(Sample2$complianceCurrent, ""'Ja'=0;; 'Ja, teilweise'=0;; 'Nein auch zuvor nicht'=1;; 'Nein, nicht mehr'=0"") Sample2$DComplianceNotAnymore <- recode(Sample2$complianceCurrent, ""'Ja'=0;; 'Ja, teilweise'=0;; 'Nein auch zuvor nicht'=0;; 'Nein, nicht mehr'=1"")",CC-By Attribution 4.0 International,Data Variable,Marthe Gründahl,['CFA_data_final.Rda'],"['ggplot2', 'lavaan', 'dplyr', 'car', 'ggpubr', 'gridExtra', 'heplots']","{'JPG', 'TIFF'}","{'LISD_manuscript_figure1.jpg', 'LISD_manuscript_figure1_hd.tiff', 'LISD_manuscript_figure1_rearranged.jpg'}",https://osf.io/ezdgt/,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,Hosted on the Open Science Framework,Social Science,2021-10-14,2022-11-18,None
4329 3_Regression analyses.R 17,Plots Anxiety main effects LISD,"ggplot(Sample2_Reg,aes(y=Anxiety,x=z_LISD_State_F1))+ geom_point(color = ""indianred4"")+geom_smooth(method=""lm"", color = ""black"", size = 0.5)+theme_classic() ggplot(Sample2_Reg,aes(y=Anxiety,x=z_LISD_Trait_F1))+ geom_point(color = ""indianred4"")+geom_smooth(method=""lm"", color = ""black"", size = 0.5)+theme_classic() ggplot(Sample2_Reg,aes(y=Anxiety,x=z_LISD_Trait_F2))+ geom_point(color = ""indianred4"")+geom_smooth(method=""lm"", color = ""black"", size = 0.5)+theme_classic()",CC-By Attribution 4.0 International,Visualization,Marthe Gründahl,['CFA_data_final.Rda'],"['ggplot2', 'lavaan', 'dplyr', 'car', 'ggpubr', 'gridExtra', 'heplots']","{'JPG', 'TIFF'}","{'LISD_manuscript_figure1.jpg', 'LISD_manuscript_figure1_hd.tiff', 'LISD_manuscript_figure1_rearranged.jpg'}",https://osf.io/ezdgt/,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,Hosted on the Open Science Framework,Social Science,2021-10-14,2022-11-18,None
4329 3_Regression analyses.R 21,"Plots Depressed plot preparation: divide z_age into SD, mean, +SD","attach(Sample2_Reg) Sample2_Reg$age_3groups <- case_when(z_age > mean(z_age)+sd(z_age) ~ ""high"", z_age < mean(z_age)+sd(z_age) & z_age > mean(z_age)-sd(z_age) ~ ""mean"", z_age < mean(z_age)-sd(z_age) ~ ""low"") detach(Sample2_Reg)",CC-By Attribution 4.0 International,Visualization,Marthe Gründahl,['CFA_data_final.Rda'],"['ggplot2', 'lavaan', 'dplyr', 'car', 'ggpubr', 'gridExtra', 'heplots']","{'JPG', 'TIFF'}","{'LISD_manuscript_figure1.jpg', 'LISD_manuscript_figure1_hd.tiff', 'LISD_manuscript_figure1_rearranged.jpg'}",https://osf.io/ezdgt/,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,Hosted on the Open Science Framework,Social Science,2021-10-14,2022-11-18,None
4329 3_Regression analyses.R 23,Plots Manuscript Plots Manuscript with raw WLISD scores Anxiety,"plot1_1 <- Sample2_Reg %>% ggplot(aes(x = LISD_State_F1, y = Anxiety)) + geom_point(color = ""#00AFBB"")+ geom_smooth(method = lm, color = ""black"", size = 0.5)+ xlim(1,5)+ ylim(-2,3)+ labs(x = ""lonely & isolated (State 1)"", y = ""Anxiety (z)"", Title = ""State Factor 1"")+ theme_classic() plot2_1 <- Sample2_Reg %>% ggplot(aes(x = LISD_State_F2, y = Anxiety)) + geom_point(color = ""#55C667FF"")+ geom_smooth(method = lm, color = ""black"", size = 0.5)+ xlim(1,5)+ ylim(-2,3)+ labs(x = ""supported & connected (State 2)"", y = ""Anxiety (z)"", Title = ""State Factor 2"")+ theme_classic() plot3_1 <- Sample2_Reg %>% ggplot(aes(x = LISD_Trait_F1, y = Anxiety)) + geom_point(color = ""#E7B800"")+ geom_smooth(method = lm, color = ""black"", size = 0.5)+ xlim(1,5)+ ylim(-2,3)+ labs(x = ""loneliness & isolation (Trait 1)"", y = ""Anxiety (z)"", Title = ""Trait Factor 1"")+ theme_classic() plot4_1 <- Sample2_Reg %>% ggplot(aes(x = LISD_Trait_F2, y = Anxiety)) + geom_point(color = ""#FC4E07"")+ geom_smooth(method = lm, color = ""black"", size = 0.5)+ xlim(1,5)+ ylim(-2,3)+ labs(x = ""sociability & sense of belonging (Trait 2)"", y = ""Anxiety (z)"", Title = ""Trait Factor 1"")+ theme_classic() plot1_1 plot2_1 plot3_1 plot4_1",CC-By Attribution 4.0 International,Visualization,Marthe Gründahl,['CFA_data_final.Rda'],"['ggplot2', 'lavaan', 'dplyr', 'car', 'ggpubr', 'gridExtra', 'heplots']","{'JPG', 'TIFF'}","{'LISD_manuscript_figure1.jpg', 'LISD_manuscript_figure1_hd.tiff', 'LISD_manuscript_figure1_rearranged.jpg'}",https://osf.io/ezdgt/,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,Hosted on the Open Science Framework,Social Science,2021-10-14,2022-11-18,None
10940 MMCPSRAnalysis.R 35,Create a line graph articles per year,"ggplot(ArticlesbyYear, aes(x=Year, y=n, group = 1)) + geom_line(color=""orange"") + labs(y = ""Number of Articles"", angle = 45) + theme_minimal(base_size = 12)",Other,Visualization,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 36,Create a barplot articles per year,"ggplot(ArticlesbyYear, aes(x = Year, y = n)) + geom_bar(stat = ""identity"", color = ""steelblue3"", fill = ""steelblue3"") + theme_minimal(base_size = 12) + labs(y = ""Articles"", angle = 45) + geom_text(aes(label = n), vjust =""center"", size=3, hjust = ""center"", nudge_y = 1)",Other,Visualization,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 38,Create a barplot articles per journal,"ggplot(Journals, aes(x = reorder(Journal, Percent), y = Percent)) + geom_bar(stat = ""identity"", color = ""steelblue3"", fill = ""steelblue3"") + coord_flip() + theme_minimal(base_size = 11) + labs(y = ""Percent"", x = ""Journal"") + geom_text(aes(label = Percent), vjust =""center"", size=3, hjust = ""center"", nudge_y = 0.01)",Other,Visualization,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 43,Create barplot Subfields Percents counts,"ggplot(subfield_count, aes(x = reorder(Subfield, Percent) , y = Percent, fill = Subfield)) + geom_bar(stat = ""identity"") + scale_fill_brewer(palette = ""Blues"", guide = FALSE) + coord_flip() + theme_minimal(base_size = 13) + labs(y = ""Percent of Articles"", x = ""Subfield"") + geom_text(aes(label = Percent), vjust =""center"", size=3, hjust = ""center"", nudge_y =.1) + scale_y_continuous(labels = scales::percent, limits = c(0,1))",Other,Visualization,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 48,authorlevel count and proportion for all gender identity categories,"gender_author <- author_data %>% subset(!is.na(Gender.apsa)) %>% dplyr::summarize(count = c(sum(male_apsa, na.rm=T), sum(female_apsa, na.rm=T), sum(nonbinary_apsa, na.rm=T))) gender_author <- gender_author %>% mutate(proportion = round(count / sum(count), 2)) %>% mutate(gender = c(""male"", ""female"", ""nonbinary"")) %>% dplyr::select(gender, count, proportion)",Other,Data Variable,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 52,calculate count and proportion of gender author structure,"gender_article_dedup <- gender_article %>% distinct(article_title, single_authored_male, single_authored_female, co_authored_male, co_authored_female, co_authored_mixed) gender_article_count <- data.frame(matrix(NA, nrow = 5, ncol = 3)) colnames(gender_article_count) <- c(""Author_Gender"", ""Frequency"", ""Percent"") gender_article_count$Author_Gender <- c(""Single Authored Male"", ""Single Authored Female"", ""Co-authored Male"", ""Co-authored Female"", ""Co-authored Mixed Gender"") gender_article_count$Frequency <- c(sum(gender_article_dedup$single_authored_male, na.rm=T), sum(gender_article_dedup$single_authored_female, na.rm=T), sum(gender_article_dedup$co_authored_male, na.rm=T), sum(gender_article_dedup$co_authored_female, na.rm=T), sum(gender_article_dedup$co_authored_mixed, na.rm=T)) gender_article_count$Percent <- formattable::percent(gender_article_count$Frequency/sum(gender_article_count$Frequency), digits = 1)",Other,Statistical Modeling,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 54,articlelevel authorship structure for race / ethnic identity categories,"race_ethnicity_article <- race_ethnicity_article %>% group_by(article_title) %>% mutate(white_authors = ifelse(mean(white) == 1, 1, 0), black_authors = ifelse(mean(black) == 1, 1, 0), east_asian_authors = ifelse(mean(east_asian) == 1, 1, 0), south_asian_authors = ifelse(mean(south_asian) == 1, 1, 0), latino_authors = ifelse(mean(latino) == 1, 1, 0), mena_authors = ifelse(mean(mena) == 1, 1, 0), native_authors = ifelse(mean(native) == 1, 1, 0), pacific_authors = ifelse(mean(pacific) == 1, 1, 0), other_authors = ifelse(mean(other) == 1, 1, 0), mixed_authors = ifelse(mean(white) < 1 & n() > 1, 1, 0))",Other,Data Variable,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 79,"count of articles that generated data using experimental techniques (includes articles that use both, percentage calculated using total empirical articles)","GenerateData[2,2] <- sum(MMCPSR_emp$EHPdata) GenerateData[2,3] <- sum(MMCPSR_emp$EHPdata)/nrow(MMCPSR_emp)",Other,Data Variable,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 90,Number (%) of articles drawing on data collected via Survey (alone + in combo. w/other techniques) Raw Count/percent alone,"SurveySoloCount <- sum(MMCPSR_emp$`Ethnography / participant observation` ==0 & MMCPSR_emp$`Interviews/focus groups` == 0 & MMCPSR_emp$Survey == 1 & MMCPSR_emp$EHPdata == 0 & MMCPSR_emp$gendataNHP == 0 & MMCPSR_emp$`Employed data/information from pre-existing primary or secondary sources`==0) SurveySoloCount formattable::percent(SurveySoloCount/nrow(MMCPSR_emp), digits = 1)",Other,Data Variable,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 99,Number (%) of articles using Field experiments (alone + in combo. w/other techniques) Count/percent alone,"FieldExpSoloCount <- sum(MMCPSR_emp$`Survey experiment` ==0 & MMCPSR_emp$Field == 1 & MMCPSR_emp$Lab == 0 & MMCPSR_emp$OHPdata == 0 & MMCPSR_emp$gendataNHP == 0 & MMCPSR_emp$`Employed data/information from pre-existing primary or secondary sources`==0) FieldExpSoloCount formattable::percent(FieldExpSoloCount/nrow(MMCPSR_emp), digits = 1)",Other,Data Variable,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
10940 MMCPSRAnalysis.R 107,Number (%) of articles using data generated through interaction with Dom gov,"sum(MMCPSR_emp$`EHP - Domestic government` == 1 | MMCPSR_emp$`OHP - Domestic government`==1) formattable::percent(sum(MMCPSR_emp$`EHP - Domestic government` == 1 | MMCPSR_emp$`OHP - Domestic government`==1) /nrow(MMCPSR_emp), digits = 1)",Other,Data Variable,Daniel Solomon,"['/Users/Tranae/Documents/Methods Project/Analysis/final_apsa_list 09222021.csv', 'Code Presence_72921_c3.xlsx', 'Dedoose Media_72921.xls', '~/Documents/Methods Project/Prelim Analysis/Prelim_Data_9520.RData']","['readxl', 'stringr', 'viridis', 'forcats', 'ggstance']",None,None,https://osf.io/uhma8/,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"This project surveys the conduct of political science research published in ten top journals from 1998 – 2018, based on original data collected from a sample of 1,926 research articles between July 2020 and May 2021. 
    Hosted on the Open Science Framework",Psychology,2021-09-23,2023-05-12,None
